company,ats_type,ats_token,priority
AMD,browser/icims,https://careers.amd.com/careers-home/jobs?categories=Student%20%2F%20Intern%20%2F%20Temp&country=United%20States%7CCanada,High
SIG,browser/icims,https://careers.sig.com/intern-co-op/jobs,High
Arm,browser/arm,https://careers.arm.com/search-jobs,Low
Two Sigma,browser/avature,https://careers.twosigma.com/careers/OpenRoles,High
Bloomberg,browser/avature,https://bloomberg.avature.net/careers/SearchJobs,High
D. E. Shaw,browser/deshaw,https://www.deshaw.com/careers/internships,High
Microsoft,browser/eightfold,https://apply.careers.microsoft.com/careers,High
Qualcomm,browser/eightfold,https://careers.qualcomm.com/careers,High
Micron,browser/eightfold,https://careers.micron.com/careers,High
Apple,browser/apple,https://jobs.apple.com/en-us/search?team=Internships-STDNT-INTRN,High
Meta,browser/meta,https://www.metacareers.com/jobs/,High
Balyasny,browser/balyasny,https://bambusdev.my.site.com/s/,Low
TSMC,browser/avature-search,https://careers.tsmc.com/en_US/careers/SearchJobs,High
